time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
23.0,83,8.416632,0.0,0.0,0.0,4975.704403721455,1436.1266760642795,43037129#1,43037129#1_0,2873.2992276296973,2873.2992276296973
24.0,83,7.961888829471327,-0.45474317052867264,0.0,0.0,4968.98270197354,1431.8595346307231,43037129#1,43037129#1_0,-4581.646218572707,0.0
25.0,83,7.375106920643494,-0.5867819088278337,0.0,0.0,4962.756381794836,1427.9068765376462,43037129#1,43037129#1_0,-6165.130120570651,0.0
26.0,83,7.525897422145836,0.15079050150234252,0.0,0.0,4956.402759062776,1423.8734028980919,43037129#1,43037129#1_0,4937.713939301144,4937.713939301144
27.0,83,7.140582580880046,-0.3853148412657905,0.0,0.0,4950.374432437897,1420.046437156267,43037129#1,43037129#1_0,-3031.523383450014,0.0
28.0,83,8.07449999979396,0.9339174189139152,0.0,0.0,4943.557660447656,1415.7189422310885,43037129#1,43037129#1_0,18056.348045027305,18056.348045027305
29.0,83,7.52574962418691,-0.5487503756070504,0.0,0.0,4937.204162491742,1411.6855478032398,43037129#1,43037129#1_0,-5726.047015888074,0.0
30.0,83,8.289827067048073,0.7640774428611623,0.0,0.0,4930.205603948671,1407.2426492257212,43037129#1,43037129#1_0,15669.170429556276,15669.170429556276
34.0,83,6.579363199366711,0.6667601670283396,0.0,0.0,4916.421955257201,1392.903709803323,4750176#9,4750176#9_0,11289.133272780544,11289.133272780544
35.0,83,7.132604757618874,0.5532415582521626,0.0,0.0,4918.846362040892,1386.1953762328499,4750176#9,4750176#9_0,10532.488797649848,10532.488797649848
36.0,83,7.169260263505175,0.0366555058863014,0.0,0.0,4921.283228207957,1379.452567548581,4750176#9,4750176#9_0,3081.018046959454,3081.018046959454
38.0,83,8.157877244885794,-0.07740900104399806,0.0,0.0,4926.927116326942,1364.0645226302436,:533954389_1,:533954389_1_0,1524.7972459317803,1524.7972459317803
39.0,83,7.193385774564713,-0.9644914703210814,0.0,0.0,4929.102190851,1358.4532372014612,:6901021993_0,:6901021993_0_0,-11498.454026161744,0.0
