time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
25.0,414,0.0,0.0,0.0,0.0,5098.76,1532.17,129216266#2,129216266#2_0,1000.0,1000.0
30.0,414,7.73644961969068,0.39486354084757647,0.0,0.0,5087.69806428213,1554.3883372985415,129216266#4,129216266#4_0,8881.027626089352,8881.027626089352
31.0,414,8.198214563802608,0.4617649441119287,0.0,0.0,5084.06946495849,1561.739785278902,129216266#4,129216266#4_0,10482.703934273317,10482.703934273317
32.0,414,7.662914419924633,-0.5353001438779756,0.0,0.0,5080.677794020282,1568.6112225043632,129216266#4,129216266#4_0,-5634.48841988892,0.0
33.0,414,8.039920014404483,0.3770055944798507,0.0,0.0,5077.119257207255,1575.8207256580279,129216266#4,129216266#4_0,8912.314279968192,8912.314279968192
34.0,414,7.772118464071095,-0.26780155033338815,0.0,0.0,5073.679251632567,1582.7900876015528,129216266#4,129216266#4_0,-1513.4308743046013,0.0
35.0,414,7.447791147609965,-0.32432731646113044,0.0,0.0,5070.382796079897,1589.4686209290398,129216266#4,129216266#4_0,-2273.6742047774046,0.0
36.0,414,7.757748374092184,0.30995722648221946,0.0,0.0,5066.94915233219,1596.4250977638312,129216266#4,129216266#4_0,7569.390222963332,7569.390222963332
37.0,414,7.93812640866337,0.18037803457118606,0.0,0.0,5063.435710596665,1603.54334116114,129216266#4,129216266#4_0,5646.1895230802365,5646.1895230802365
38.0,414,7.672066939394713,-0.2660594692686571,0.0,0.0,5060.040027686754,1610.4230048278027,129216266#4,129216266#4_0,-1457.9965057122167,0.0
39.0,414,7.822932362631686,0.15086542323697305,0.0,0.0,5056.5775712276245,1617.437951903617,129216266#4,129216266#4_0,5106.331230544582,5106.331230544582
40.0,414,8.469604155077391,0.646671792445705,0.0,0.0,5052.8292489857495,1625.0333661118443,:30294194_0,:30294194_0_0,13981.718846933918,13981.718846933918
41.0,414,8.179870289685928,-0.2897338653914634,0.0,0.0,5049.217096358799,1632.371533192703,129216266#5,129216266#5_0,-1990.7621363736353,0.0
42.0,414,8.458230392081456,0.2783601023955278,0.0,0.0,5046.2695649905,1638.3422375065709,129216266#6,129216266#6_0,7653.594611812454,7653.594611812454
43.0,414,7.6561576267991,-0.8020727652823556,0.0,0.0,5042.886981083104,1645.2106701138393,129216266#6,129216266#6_0,-9766.007915084203,0.0
44.0,414,8.523275752347686,0.8671181255485862,0.0,0.0,5039.121293801892,1652.8570049924801,129216266#6,129216266#6_0,17872.469010651752,17872.469010651752
45.0,414,7.943520238418856,-0.5797555139288306,0.0,0.0,5035.611749584503,1659.983234111781,129216266#6,129216266#6_0,-6581.004612526177,0.0
46.0,414,7.815457765181341,-0.12806247323751485,0.0,0.0,5032.158784931202,1666.9945768207142,129216266#6,129216266#6_0,686.4917884669046,686.4917884669046
47.0,414,8.525703615421222,0.7102458502398807,0.0,0.0,5028.392024990444,1674.6430897650002,129216266#6,129216266#6_0,15168.321794255498,15168.321794255498
48.0,414,7.6161644058821505,-0.9095392095390711,0.0,0.0,5025.027110576294,1681.4756439648474,129216266#6,129216266#6_0,-11369.217950167134,0.0
49.0,414,8.260648331610279,0.6444839257281281,0.0,0.0,5021.47304314783,1688.7358588018217,:30558551_1,:30558551_1_0,13615.106828086,13615.106828086
50.0,414,8.512270531412938,0.2516221998026591,0.0,0.0,5017.770418413992,1696.406376939031,129216266#9,129216266#9_0,7237.717669348201,7237.717669348201
51.0,414,8.537957782955631,0.0256872515426938,0.0,0.0,5014.083161917941,1704.1059525135274,129216266#9,129216266#9_0,3350.4574179768506,3350.4574179768506
52.0,414,7.5891139336915465,-0.9488438492640849,0.0,0.0,5010.805679133106,1710.9498556764797,129216266#9,129216266#9_0,-11930.535195546026,0.0
53.0,414,7.746579368254893,0.15746543456334638,0.0,0.0,5007.460192328897,1717.9357620027895,129216266#9,129216266#9_0,5166.712164673562,5166.712164673562
54.0,414,8.10542128556946,0.3588419173145665,0.0,0.0,5003.959733782696,1725.2452738717707,129216266#9,129216266#9_0,8681.452666447803,8681.452666447803
55.0,414,7.59545987889243,-0.5099614066770295,0.0,0.0,5000.679510397796,1732.0948998417348,129216266#9,129216266#9_0,-5188.883256839216,0.0
56.0,414,7.939899759884716,0.34443988099228573,0.0,0.0,4997.250535025479,1739.255143521693,129216266#9,129216266#9_0,8285.861561645677,8285.861561645677
57.0,414,7.3152111254453445,-0.6246886344393712,0.0,0.0,4994.091341641303,1745.8520396806557,129216266#9,129216266#9_0,-6670.785786184555,0.0
58.0,414,7.413629234145187,0.09841810869984258,0.0,0.0,4990.873256654426,1752.529786652379,129216266#9,129216266#9_0,4088.3224888033956,4088.3224888033956
59.0,414,7.574451259156481,0.16082202501129395,0.0,0.0,4987.564887548987,1759.3425182936733,129216266#9,129216266#9_0,5118.897547821479,5118.897547821479
63.0,414,0.06892030329345711,-0.32296248318536735,0.0,0.0,4984.3362976202125,1765.9909653270995,129216266#9,129216266#9_0,968.6088796664999,968.6088796664999
64.0,414,0.011507886668004248,-0.057412416625452864,0.0,0.0,4984.331271205041,1766.0013159308521,129216266#9,129216266#9_0,1000.9484225391161,1000.9484225391161
65.0,414,0.007875551524710617,-0.003632335143293631,0.0,0.0,4984.3278313213505,1766.0083994828124,129216266#9,129216266#9_0,1001.5069830375802,1001.5069830375802
66.0,414,0.0010613196795963512,-0.0068142318451142655,0.0,0.0,4984.327367758101,1766.0093540715893,129216266#9,129216266#9_0,1000.1962426734789,1000.1962426734789
67.0,414,0.00026591650784007646,-0.0007954031717562748,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0524110445854,1000.0524110445854
68.0,414,0.0,-0.00026591650784007646,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
69.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
70.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
71.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
72.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
73.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
74.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
75.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
76.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
77.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
78.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
79.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
80.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
81.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
82.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
83.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
84.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
85.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
86.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
87.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
88.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
89.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
90.0,414,0.0,0.0,0.0,0.0,4984.327251611078,1766.0095932463817,129216266#9,129216266#9_0,1000.0,1000.0
98.0,414,13.124773431174837,0.14480072020218593,0.0,0.0,5020.615000666145,1804.8789414603814,43037119#1,43037119#1_2,8219.135706583129,8219.135706583129
99.0,414,13.11605235003066,-0.008721081144177134,0.0,0.0,5031.086439712999,1813.4075304892572,43037119#1,43037119#1_3,4134.66898026648,4134.66898026648
101.0,414,13.755694105443427,-0.5040768172699348,0.0,0.0,5056.379371812301,1825.4513748969268,43037119#1,43037119#1_3,-9434.868804519256,0.0
106.0,414,0.0036282986713853244,-0.019843955006075484,0.0,0.0,5070.656266792641,1832.2496654665124,43037119#1,43037119#1_3,1000.5751287742426,1000.5751287742426
107.0,414,0.0,-0.0036282986713853244,0.0,0.0,5070.656266792641,1832.2496654665124,43037119#1,43037119#1_3,1000.0,1000.0
108.0,414,0.0,0.0,0.0,0.0,5070.656266792641,1832.2496654665124,43037119#1,43037119#1_3,1000.0,1000.0
109.0,414,0.0,0.0,0.0,0.0,5070.656266792641,1832.2496654665124,43037119#1,43037119#1_3,1000.0,1000.0
110.0,414,0.0,0.0,0.0,0.0,5072.026266792641,1829.3596654665125,43037119#1,43037119#1_2,1000.0,1000.0
111.0,414,0.0,0.0,0.0,0.0,5072.026266792641,1829.3596654665125,43037119#1,43037119#1_2,1000.0,1000.0
112.0,414,0.0,0.0,0.0,0.0,5072.026266792641,1829.3596654665125,43037119#1,43037119#1_2,1000.0,1000.0
113.0,414,0.0,0.0,0.0,0.0,5072.026266792641,1829.3596654665125,43037119#1,43037119#1_2,1000.0,1000.0
114.0,414,0.0,0.0,0.0,0.0,5072.026266792641,1829.3596654665125,43037119#1,43037119#1_2,1000.0,1000.0
115.0,414,0.0,0.0,0.0,0.0,5072.026266792641,1829.3596654665125,43037119#1,43037119#1_2,1000.0,1000.0
116.0,414,0.0,0.0,0.0,0.0,5073.406266792641,1826.4796654665124,43037119#1,43037119#1_1,1000.0,1000.0
117.0,414,0.0,0.0,0.0,0.0,5073.406266792641,1826.4796654665124,43037119#1,43037119#1_1,1000.0,1000.0
118.0,414,0.0,0.0,0.0,0.0,5073.406266792641,1826.4796654665124,43037119#1,43037119#1_1,1000.0,1000.0
119.0,414,0.0,0.0,0.0,0.0,5073.406266792641,1826.4796654665124,43037119#1,43037119#1_1,1000.0,1000.0
120.0,414,0.0,0.0,0.0,0.0,5073.406266792641,1826.4796654665124,43037119#1,43037119#1_1,1000.0,1000.0
