time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
5.0,189,8.8298,0.0,0.0,0.0,4706.74,2158.94,906505545#0,906505545#0_0,2986.454086738663,2986.454086738663
6.0,189,8.47754173658807,-0.35225826341193134,0.0,0.0,4710.359854818337,2151.3366800834633,906505545#1,906505545#1_0,-3159.089685877322,0.0
7.0,189,7.809468715060689,-0.6680730215273805,0.0,0.0,4713.934167799521,2144.391528865112,906505545#1,906505545#1_0,-7855.677893996448,0.0
8.0,189,8.60626449257154,0.7967957775108516,0.0,0.0,4717.873165959022,2136.7377677058203,906505545#1,906505545#1_0,16814.980931424143,16814.980931424143
9.0,189,7.841741116349772,-0.764523376221768,0.0,0.0,4721.462249684167,2129.7639158529814,906505545#1,906505545#1_0,-9422.94548282975,0.0
10.0,189,8.479104844578728,0.6373637282289559,0.0,0.0,4725.343048189237,2122.2232408736086,906505545#1,906505545#1_0,13836.875850812456,13836.875850812456
11.0,189,8.441528987074458,-0.037575857504270616,0.0,0.0,4729.184448702853,2114.7063660807858,:3109574422_2,:3109574422_2_0,2237.5326013442855,2237.5326013442855
12.0,189,8.355333990352415,-0.08619499672204256,0.0,0.0,4732.973899763665,2107.260732115735,:3109574422_2,:3109574422_2_0,1397.98152204789,1397.98152204789
13.0,189,7.996011380530149,-0.35932260982226616,0.0,0.0,4736.5667269816995,2100.118485095866,906505545#2,906505545#2_0,-3058.634661843634,0.0
14.0,189,7.957342513143272,-0.03866886738687736,0.0,0.0,4740.138869679401,2093.009124834387,906505545#2,906505545#2_0,2127.6489327411005,2127.6489327411005
15.0,189,7.7341634720612324,-0.22317904108203912,0.0,0.0,4743.61082473524,2086.09916031379,906505545#2,906505545#2_0,-803.6347553413505,0.0
17.0,189,8.626312294211425,-0.19366215863265168,0.0,0.0,4751.44266378233,2070.512054756247,906505545#2,906505545#2_0,-453.52062239093243,0.0
18.0,189,8.51933512525186,-0.1069771689595651,0.0,0.0,4755.267091435993,2062.9005911936756,906505545#2,906505545#2_0,1055.110519388371,1055.110519388371
19.0,189,8.025750391349849,-0.4935847339020114,0.0,0.0,4758.869943218066,2055.7301130087076,906505545#2,906505545#2_0,-5255.087525276572,0.0
22.0,189,0.08594598786803276,-0.18536862238364354,0.0,0.0,4760.852263068603,2052.5078353307176,906505545#3,906505545#3_0,984.8077613653948,984.8077613653948
23.0,189,0.0042041246973118125,-0.08174186317072095,0.0,0.0,4760.854466065051,2052.504254364378,906505545#3,906505545#3_0,1000.1393008167707,1000.1393008167707
24.0,189,0.0013325726816957283,-0.0028715520156160843,0.0,0.0,4760.855164344265,2052.5031193129084,906505545#3,906505545#3_0,1000.2570406274624,1000.2570406274624
25.0,189,0.00042214232603546276,-0.0009104303556602655,0.0,0.0,4760.855385550369,2052.502759742827,906505545#3,906505545#3_0,1000.0831041510318,1000.0831041510318
26.0,189,0.00015062297014827486,-0.0002715193558871879,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0298469992798,1000.0298469992798
27.0,189,0.0,-0.00015062297014827486,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0,1000.0
28.0,189,0.0,0.0,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0,1000.0
29.0,189,0.0,0.0,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0,1000.0
30.0,189,0.0,0.0,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0,1000.0
31.0,189,0.0,0.0,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0,1000.0
32.0,189,0.0,0.0,0.0,0.0,4760.855464478063,2052.5026314460174,906505545#3,906505545#3_0,1000.0,1000.0
