time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
28.0,411,6.92223,0.0,0.0,0.0,5238.928275862069,2287.500344827586,43872044#5,43872044#5_0,2487.2350911922263,2487.2350911922263
29.0,411,5.988190457036271,-0.9340395429637285,0.0,0.0,5242.507424181217,2282.698455793073,43872044#5,43872044#5_0,-9067.119313747406,0.0
30.0,411,6.2116753343003985,0.22348487726412714,0.0,0.0,5246.220149668386,2277.717355761646,43872044#5,43872044#5_0,5126.952156367697,5126.952156367697
31.0,411,5.792884518366791,-0.41879081593360734,0.0,0.0,5249.682563403501,2273.07208122562,43872044#5,43872044#5_0,-2697.438172946735,0.0
32.0,411,4.875808662655036,-0.9170758557117553,0.0,0.0,5252.596839845548,2269.162203555634,43872044#5,43872044#5_0,-7049.3379156191395,0.0
34.0,411,0.1634702313739079,-0.2830743625191672,0.0,0.0,5252.961446407777,2268.673036833006,43872044#5,43872044#5_0,938.7531240798978,938.7531240798978
35.0,411,0.0004117271187661464,-0.16305850425514176,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,999.9458261565538,999.9458261565538
36.0,411,0.0,-0.0004117271187661464,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
37.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
38.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
39.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
40.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
41.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
42.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
43.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
44.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
45.0,411,0.0,0.0,0.0,0.0,5252.961692497549,2268.6727066718413,43872044#5,43872044#5_0,1000.0,1000.0
49.0,411,6.591978437334784,0.9409559024009111,0.0,0.0,5264.007291453502,2253.5486794532976,:cluster_10044994212_10044994213_4921421154_557230343_8121955337_8121955338_8121955340_8121955341_3,:cluster_10044994212_10044994213_4921421154_557230343_8121955337_8121955338_8121955340_8121955341_3_0,14970.406813557569,14970.406813557569
50.0,411,6.376787361407206,-0.2151910759275779,0.0,0.0,5267.765445425077,2248.396939604713,:cluster_10044994212_10044994213_4921421154_557230343_8121955337_8121955338_8121955340_8121955341_3,:cluster_10044994212_10044994213_4921421154_557230343_8121955337_8121955338_8121955340_8121955341_3_0,-425.0588732745018,0.0
51.0,411,6.640862187135517,0.2640748257283114,0.0,0.0,5271.927803014571,2243.2243280500675,43872044#10,43872044#10_0,5970.431478553317,5970.431478553317
52.0,411,6.036356090751961,-0.604506096383556,0.0,0.0,5275.7634724048485,2238.5629924014393,43872044#10,43872044#10_0,-5117.718728815089,0.0
53.0,411,6.8443950176448745,0.8080389268929133,0.0,0.0,5280.112592315843,2233.2776808642493,43872044#10,43872044#10_0,13670.452863375833,13670.452863375833
54.0,411,6.346329512118846,-0.4980655055260286,0.0,0.0,5284.145227482537,2228.3769805828165,43872044#10,43872044#10_0,-4055.3871406650087,0.0
55.0,411,5.624715172171145,-0.7216143399477009,0.0,0.0,5287.719328726826,2224.033518243743,43872044#10,43872044#10_0,-6043.859378760403,0.0
56.0,411,5.918453191544414,0.2937380193732686,0.0,0.0,5291.480079319285,2219.463228414628,43872044#10,43872044#10_0,5767.25346583509,5767.25346583509
57.0,411,5.655193024359196,-0.2632601671852175,0.0,0.0,5295.073547042782,2215.0962307677023,43872044#10,43872044#10_0,-830.967281708771,0.0
58.0,411,5.907004180827662,0.25181115646846575,0.0,0.0,5298.827022613806,2210.5347819812614,43872044#10,43872044#10_0,5256.108536886804,5256.108536886804
59.0,411,5.818930239996425,-0.08807394083123654,0.0,0.0,5302.5245335409545,2206.0413447888914,43872044#10,43872044#10_0,1184.5468501115276,1184.5468501115276
60.0,411,5.664690114252753,-0.15424012574367207,0.0,0.0,5306.124035980834,2201.6670133924304,43872044#10,43872044#10_0,417.0747350683555,417.0747350683555
62.0,411,6.60816798817601,-0.19672275180928445,0.0,0.0,5314.647068422943,2191.309312841513,43872044#10,43872044#10_0,-222.8761417913836,0.0
63.0,411,5.778088024838381,-0.8300799633376297,0.0,0.0,5318.265452653575,2186.807069313432,:1475044290_0,:1475044290_0_0,-7501.988914065281,0.0
64.0,411,6.011728623926192,0.23364059908781165,0.0,0.0,5322.015395977525,2182.111581541036,:1475044290_0,:1475044290_0_0,5112.827786813571,5112.827786813571
65.0,411,6.834526871328726,0.8227982474025337,0.0,0.0,5326.198845997541,2176.708064409511,43872044#11,43872044#11_0,13856.197815827407,13856.197815827407
66.0,411,6.0422692534257845,-0.7922576179029415,0.0,0.0,5329.890361200088,2171.925190855277,43872044#11,43872044#11_0,-7421.448083143334,0.0
67.0,411,6.206324919124618,0.16405566569883323,0.0,0.0,5333.68210596186,2167.0124559075857,43872044#11,43872044#11_0,4376.158673146367,4376.158673146367
68.0,411,5.744738710483089,-0.46158620864152855,0.0,0.0,5337.191845332111,2162.4650983334795,43872044#11,43872044#11_0,-3165.762536515329,0.0
69.0,411,6.417823931828625,0.6730852213455361,0.0,0.0,5341.1128050937405,2157.3849473054747,43872044#11,43872044#11_0,11114.1944833656,11114.1944833656
71.0,411,4.434559231093749,-0.9199463308788838,0.0,0.0,5346.429314764911,2149.2295221548748,:cluster_557230386_6248889527_2,:cluster_557230386_6248889527_2_0,-6352.812498517735,0.0
72.0,411,4.444121145625263,0.009561914531514226,0.0,0.0,5346.034280094588,2145.211404127259,:cluster_557230386_6248889527_2,:cluster_557230386_6248889527_2_0,1998.7208656324754,1998.7208656324754
73.0,411,4.939022433111108,0.4949012874858454,0.0,0.0,5341.239347541569,2144.1721330375435,1007205015#3,1007205015#3_0,6973.129078223692,6973.129078223692
74.0,411,5.739274026404619,0.8002515932935106,0.0,0.0,5335.524341058617,2143.6079126522836,1007205015#3,1007205015#3_0,11507.218830592996,11507.218830592996
76.0,411,6.145149704974629,-0.7484713655197996,0.0,0.0,5322.596859675479,2143.1542344581217,1007205015#4,1007205015#4_0,-7017.220201623965,0.0
77.0,411,5.854698097610399,-0.29045160736423004,0.0,0.0,5316.7452625832175,2142.986780169313,1007205015#4,1007205015#4_0,-1213.4952970396039,0.0
78.0,411,6.74689848671902,0.8922003891086208,0.0,0.0,5309.999045210745,2142.9006767467117,1007205015#5,1007205015#5_0,14637.122823354557,14637.122823354557
79.0,411,5.87184915363092,-0.8750493330881,0.0,0.0,5304.127196057114,2142.8447761039047,1007205015#5,1007205015#5_0,-8172.644890548419,0.0
81.0,411,6.365046827027127,-0.551814046129584,0.0,0.0,5290.84528835693,2142.718330897511,1007205015#5,1007205015#5_0,-4762.753719073718,0.0
82.0,411,5.730535251807906,-0.6345115752192214,0.0,0.0,5285.114753105122,2142.6637755784245,1007205015#5,1007205015#5_0,-5163.011851016238,0.0
83.0,411,6.06548448423624,0.3349492324283343,0.0,0.0,5279.049268620885,2142.6060315062023,1007205015#5,1007205015#5_0,6395.60597382917,6395.60597382917
84.0,411,6.909122401543446,0.8436379173072055,0.0,0.0,5272.140146219343,2142.5402559092186,1007205015#5,1007205015#5_0,14290.550395398308,14290.550395398308
85.0,411,6.327599927175343,-0.5815224743681027,0.0,0.0,5265.812546292167,2142.480016469461,1007205015#5,1007205015#5_0,-5110.633498240202,0.0
86.0,411,6.812056471731067,0.48445654455572384,0.0,0.0,5259.010489820436,2142.489013689017,1007205015#6,1007205015#6_0,9144.719726250543,9144.719726250543
87.0,411,6.498475611580089,-0.31358086015097797,0.0,0.0,5252.512014208856,2142.531675600139,1007205015#6,1007205015#6_0,-1743.9303771890573,0.0
88.0,411,6.259379643688463,-0.23909596789162624,0.0,0.0,5246.252634565168,2142.5727678676176,1007205015#6,1007205015#6_0,-705.0328545803097,0.0
89.0,411,6.6230008810735495,0.3636212373850869,0.0,0.0,5239.629633684094,2142.6162472759947,1007205015#6,1007205015#6_0,7291.975017569722,7291.975017569722
90.0,411,5.849178916935362,-0.7738219641381878,0.0,0.0,5233.7804547671585,2142.6546466123937,1007205015#6,1007205015#6_0,-6938.429059166132,0.0
91.0,411,6.083447237077653,0.2342683201422915,0.0,0.0,5227.697007530081,2142.6945838993593,1007205015#6,1007205015#6_0,5171.405648471923,5171.405648471923
92.0,411,6.409101550069191,0.3256543129915377,0.0,0.0,5221.287905980012,2142.7366590777615,1007205015#6,1007205015#6_0,6589.8618403083165,6589.8618403083165
93.0,411,6.911669011970535,0.5025674619013438,0.0,0.0,5214.376236968041,2142.7820335665974,1007205015#6,1007205015#6_0,9520.555069459484,9520.555069459484
95.0,411,6.028659202202707,0.342397082061507,0.0,0.0,5202.661315645697,2142.8589409772153,1007205015#6,1007205015#6_0,6452.891763228191,6452.891763228191
96.0,411,5.897694528147131,-0.13096467405557632,0.0,0.0,5196.869727703554,2142.6157365598074,1007205015#7,1007205015#7_0,676.5010332382462,676.5010332382462
97.0,411,6.310466647238955,0.4127721190918239,0.0,0.0,5190.5649628229685,2142.3212754727065,:557230481_1,:557230481_1_0,7614.725112911119,7614.725112911119
98.0,411,5.766969085575566,-0.543497561663389,0.0,0.0,5184.90323029568,2141.2655836230424,:557230481_1,:557230481_1_0,-4138.218011580133,0.0
99.0,411,6.334355827395357,0.5673867418197913,0.0,0.0,5178.775830291428,2139.6556980213218,490631541#0,490631541#0_0,9624.207475868816,9624.207475868816
100.0,411,6.822327214011476,0.4879713866161186,0.0,0.0,5172.131307401008,2138.0860872032363,490631541#1,490631541#1_0,9205.893216213455,9205.893216213455
103.0,411,5.927542277795746,-0.979953063745052,0.0,0.0,5154.012989725393,2134.1379685569773,490631541#1,490631541#1_0,-9517.866666907285,0.0
